Soil_Type,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Irrigation_Hours,Previous_Yield,Season,Crop_Yield,Crop_Health,Suitability,Productivity_Zone
Loamy,888.08,20.31,91.34,242.46,54.06,2.56,3.97,Kharif,5.76,Healthy,High,Moderate Productivity
Sandy,1614.02,25.02,76.37,323.24,37.81,7.5,3.99,Kharif,8.0,Healthy,High,High Productivity
Clay,386.84,37.36,73.61,202.66,39.44,3.72,3.7,Summer,5.03,Healthy,Medium,Moderate Productivity
Loamy,1499.03,29.75,80.12,124.05,52.83,4.7,4.21,Kharif,6.92,Healthy,Medium,High Productivity
Clay,1170.31,22.18,87.66,165.1,62.07,5.11,4.58,Kharif,7.21,Healthy,Medium,High Productivity
Clay,1010.55,26.51,87.81,224.06,30.23,4.22,2.95,Kharif,6.25,Healthy,High,Moderate Productivity
Clay,577.48,19.68,88.73,116.39,65.02,1.65,2.93,Rabi,3.3,Healthy,Medium,Low Productivity
Loamy,1137.65,33.74,70.42,161.27,54.77,5.45,3.31,Kharif,5.84,Healthy,Medium,Moderate Productivity
Loamy,1279.33,24.23,91.78,127.35,51.53,6.1,5.08,Kharif,8.0,Healthy,High,High Productivity
Loamy,1594.19,23.72,94.74,165.8,48.01,3.58,3.6,Kharif,6.29,Healthy,Medium,High Productivity
Loamy,404.89,32.33,71.73,162.42,47.42,5.52,2.63,Summer,3.7,Healthy,Medium,Low Productivity
Sandy,327.25,33.78,72.89,281.99,37.46,7.69,3.14,Summer,4.42,Healthy,Medium,Low Productivity
Sandy,757.36,21.99,92.84,228.94,48.08,6.28,3.32,Rabi,4.82,Healthy,Medium,Moderate Productivity
Clay,448.12,20.08,89.51,228.9,34.1,4.97,2.61,Rabi,5.17,Healthy,Medium,Moderate Productivity
Clay,328.24,38.46,70.82,234.4,25.83,4.02,3.45,Summer,4.97,Healthy,Medium,Moderate Productivity
Loamy,214.5,34.12,76.96,232.54,68.41,3.72,3.08,Summer,4.16,Healthy,Medium,Low Productivity
Sandy,561.71,21.09,85.88,206.14,48.4,9.81,2.22,Rabi,4.36,Healthy,Medium,Low Productivity
Sandy,344.31,31.8,77.94,160.06,47.42,6.36,2.86,Summer,3.09,Healthy,Low,Low Productivity
Loamy,405.22,35.67,71.17,217.04,43.04,3.52,3.27,Summer,4.09,Healthy,Medium,Low Productivity
Loamy,611.2,36.77,63.8,208.16,32.86,2.54,4.06,Summer,4.25,Healthy,Medium,Low Productivity
Sandy,594.98,27.89,75.58,214.31,41.6,7.44,2.68,Rabi,4.54,Healthy,Medium,Low Productivity
Sandy,989.93,29.27,75.62,317.43,45.6,9.21,2.45,Kharif,7.2,Healthy,Medium,High Productivity
Sandy,1524.69,27.61,85.51,186.88,45.69,9.3,2.61,Kharif,6.84,Healthy,High,High Productivity
Clay,589.07,21.29,93.26,304.5,42.46,2.92,3.32,Rabi,6.33,Healthy,Medium,High Productivity
Sandy,359.47,18.49,95.0,314.64,55.29,7.75,1.84,Rabi,4.89,Healthy,Medium,Low Productivity
Clay,715.17,19.49,92.81,212.49,51.73,2.86,3.35,Rabi,3.68,Healthy,Medium,Low Productivity
Sandy,513.28,21.73,89.99,204.3,52.93,9.31,2.73,Rabi,5.39,Healthy,Medium,Moderate Productivity
Loamy,782.12,25.54,84.74,214.56,54.47,5.07,3.78,Rabi,5.26,Healthy,Medium,Moderate Productivity
Clay,200.0,29.22,80.98,161.7,44.59,4.86,3.38,Summer,4.13,Healthy,Medium,Low Productivity
Clay,1347.98,25.45,85.84,331.82,46.06,3.95,3.43,Kharif,8.0,Healthy,High,High Productivity
Clay,1086.02,17.92,85.47,254.68,62.47,2.69,3.61,Kharif,6.63,Healthy,Medium,High Productivity
Clay,387.47,39.9,62.17,202.67,31.21,0.64,3.68,Summer,4.17,Unhealthy,Low,Low Productivity
Loamy,280.72,33.92,68.15,162.89,23.71,7.39,2.62,Summer,3.85,Healthy,Low,Low Productivity
Sandy,387.46,34.94,77.6,279.12,50.84,7.15,2.25,Summer,3.92,Healthy,Medium,Low Productivity
Loamy,515.68,33.33,82.27,285.4,40.39,4.17,4.51,Summer,7.19,Healthy,Medium,High Productivity
Loamy,418.3,27.16,70.56,130.09,32.4,3.9,3.91,Summer,4.4,Healthy,Medium,Low Productivity
Sandy,1474.29,29.95,85.89,298.57,56.62,7.86,3.75,Kharif,8.0,Healthy,High,High Productivity
Loamy,732.54,10.0,95.0,136.27,49.05,4.74,3.79,Rabi,5.37,Unhealthy,Low,Moderate Productivity
Clay,1137.1,27.7,85.82,235.89,35.11,3.15,3.47,Kharif,6.16,Healthy,High,High Productivity
Clay,562.28,16.67,95.0,188.23,69.85,3.98,3.39,Rabi,4.62,Healthy,Low,Low Productivity
Clay,562.49,36.55,77.35,160.84,29.1,5.44,3.84,Summer,4.2,Healthy,Medium,Low Productivity
Loamy,670.82,29.4,79.77,194.16,45.07,5.07,4.05,Kharif,5.5,Healthy,Medium,Moderate Productivity
Sandy,230.5,20.13,83.03,240.71,28.02,4.7,2.76,Rabi,4.69,Healthy,Medium,Low Productivity
Clay,1530.45,31.15,76.09,336.56,47.53,5.36,4.33,Kharif,7.58,Healthy,High,High Productivity
Sandy,1314.88,34.35,75.36,239.65,38.2,7.24,3.44,Kharif,6.66,Healthy,Medium,High Productivity
Clay,1085.6,32.52,73.9,204.06,52.36,2.12,2.34,Kharif,6.07,Healthy,Medium,Moderate Productivity
Loamy,1123.92,30.54,80.64,56.19,46.02,6.57,4.76,Kharif,5.67,Healthy,Medium,High Productivity
Sandy,579.01,32.85,74.25,232.37,57.78,10.31,3.78,Summer,6.53,Healthy,High,High Productivity
Sandy,527.78,18.2,89.19,137.61,44.46,7.07,3.36,Rabi,4.62,Healthy,Medium,Low Productivity
Sandy,356.42,45.0,54.57,402.91,22.33,9.02,2.48,Summer,5.94,Unhealthy,Medium,Moderate Productivity
Loamy,541.95,21.37,86.4,273.73,50.29,3.78,3.46,Rabi,5.04,Healthy,Medium,Moderate Productivity
Sandy,1392.09,29.03,80.18,268.81,43.53,6.96,3.04,Kharif,8.0,Healthy,High,High Productivity
Clay,1154.67,28.81,69.63,268.06,24.7,3.67,2.26,Kharif,7.47,Healthy,High,High Productivity
Clay,542.08,39.2,63.06,169.29,30.36,4.62,3.23,Summer,3.87,Unhealthy,Medium,Low Productivity
Loamy,834.25,32.11,65.48,145.82,34.27,4.5,3.86,Kharif,5.91,Healthy,Medium,Moderate Productivity
Loamy,570.97,42.28,60.18,238.12,55.61,5.75,3.23,Summer,5.21,Unhealthy,Medium,Moderate Productivity
Loamy,1452.03,29.26,84.88,182.93,54.54,2.33,3.55,Kharif,7.11,Healthy,Medium,High Productivity
Clay,691.2,26.29,76.52,142.36,41.48,6.2,2.84,Rabi,4.33,Healthy,Medium,Low Productivity
Loamy,612.99,35.91,74.42,194.38,49.04,2.14,4.29,Summer,4.55,Unhealthy,Medium,Moderate Productivity
Loamy,1206.83,30.71,91.39,192.87,29.02,6.53,4.35,Kharif,6.71,Healthy,High,High Productivity
Loamy,928.84,24.18,92.25,184.79,44.03,4.76,3.46,Kharif,4.98,Healthy,Medium,Moderate Productivity
Sandy,475.22,37.81,69.3,172.92,46.8,8.22,3.3,Summer,5.15,Unhealthy,Medium,Moderate Productivity
Clay,1373.96,29.97,82.32,161.64,48.35,4.85,3.58,Kharif,6.54,Healthy,High,High Productivity
Clay,609.18,16.79,87.0,294.01,42.71,3.67,3.44,Rabi,4.96,Healthy,Medium,Moderate Productivity
Loamy,289.87,16.4,86.46,189.87,47.55,4.49,2.88,Rabi,4.36,Healthy,Medium,Low Productivity
Sandy,1054.59,27.77,80.81,254.7,49.63,8.2,3.17,Kharif,6.55,Healthy,High,High Productivity
Clay,381.73,32.4,77.12,162.67,45.04,5.58,3.3,Summer,3.67,Healthy,Low,Low Productivity
Sandy,520.23,34.7,77.83,330.36,53.96,5.74,1.94,Summer,5.88,Healthy,Medium,Moderate Productivity
Sandy,1320.97,31.28,73.62,232.43,47.27,8.73,3.05,Kharif,6.55,Healthy,High,High Productivity
Clay,317.93,35.67,72.17,166.74,48.76,3.46,3.5,Summer,4.03,Healthy,Low,Low Productivity
Loamy,1438.41,28.07,81.11,102.84,63.47,7.52,4.47,Kharif,6.36,Healthy,High,High Productivity
Loamy,1522.4,25.31,82.97,158.5,55.17,2.33,4.02,Kharif,6.22,Healthy,High,High Productivity
Loamy,771.3,16.22,94.18,211.51,67.66,4.79,3.23,Rabi,4.29,Healthy,Medium,Low Productivity
Sandy,406.68,39.68,62.11,206.9,33.91,7.14,2.5,Summer,4.03,Healthy,Low,Low Productivity
Loamy,1030.01,27.0,82.99,225.74,30.97,6.92,4.54,Kharif,6.82,Healthy,High,High Productivity
Sandy,1238.46,27.47,82.02,315.87,45.2,8.87,2.91,Kharif,8.0,Healthy,High,High Productivity
Loamy,927.4,23.09,84.09,269.87,44.97,5.7,4.52,Rabi,7.14,Healthy,High,High Productivity
Clay,490.36,34.32,76.14,252.47,59.44,3.43,2.78,Summer,4.15,Healthy,Medium,Low Productivity
Sandy,1094.03,34.01,78.32,264.12,34.2,5.55,3.09,Kharif,6.26,Healthy,High,Moderate Productivity
Clay,1227.53,27.59,84.28,270.34,46.5,4.35,3.88,Kharif,8.0,Healthy,High,High Productivity
Sandy,333.7,29.68,73.17,153.93,48.0,6.99,2.73,Summer,4.09,Healthy,Medium,Low Productivity
Sandy,1168.15,29.44,79.17,233.03,46.75,8.99,2.95,Kharif,6.48,Healthy,Medium,High Productivity
Clay,1468.8,29.53,74.01,393.0,42.49,4.32,2.75,Kharif,7.66,Healthy,High,High Productivity
Clay,1191.08,32.24,75.79,69.75,48.32,4.62,3.95,Kharif,4.5,Unhealthy,Medium,Moderate Productivity
Sandy,583.15,18.59,87.15,358.29,58.94,10.7,3.35,Rabi,7.12,Healthy,Medium,High Productivity
Clay,537.57,22.29,93.64,236.3,65.45,3.8,3.51,Rabi,5.24,Healthy,Medium,Moderate Productivity
Loamy,557.76,31.95,79.58,220.02,46.2,3.82,4.46,Summer,5.83,Healthy,Medium,High Productivity
Sandy,501.07,20.45,95.0,204.48,42.34,9.64,2.75,Rabi,4.39,Healthy,Medium,Low Productivity
Sandy,200.0,20.09,95.0,379.74,65.85,4.98,2.98,Rabi,6.24,Healthy,Medium,Moderate Productivity
Sandy,507.61,33.42,72.55,367.27,32.99,6.22,3.13,Summer,6.57,Healthy,Medium,High Productivity
Clay,797.6,16.79,91.73,233.32,67.42,2.38,2.95,Rabi,4.93,Healthy,Medium,Low Productivity
Loamy,711.24,25.68,91.89,233.75,63.01,4.96,4.41,Rabi,5.82,Healthy,Medium,High Productivity
Sandy,200.0,33.29,73.23,281.48,58.86,8.12,3.44,Summer,4.9,Healthy,Medium,Moderate Productivity
Loamy,1292.85,19.02,84.41,207.34,54.18,3.69,4.15,Kharif,7.34,Healthy,Medium,High Productivity
Clay,450.8,29.44,83.71,254.18,25.99,4.59,3.51,Summer,5.39,Healthy,Medium,Moderate Productivity
Sandy,471.05,33.5,74.52,220.1,33.96,6.28,3.22,Summer,4.41,Healthy,Medium,Low Productivity
Sandy,1452.39,25.34,91.13,234.62,52.41,7.67,2.92,Kharif,6.99,Healthy,High,High Productivity
Loamy,638.97,18.42,93.11,248.07,43.18,4.98,3.76,Rabi,5.37,Healthy,Medium,Moderate Productivity
Sandy,1190.03,23.67,85.5,179.84,44.5,4.5,3.37,Kharif,6.67,Healthy,Medium,High Productivity
Sandy,853.14,27.14,89.07,355.62,54.85,7.87,2.97,Kharif,6.35,Healthy,High,Moderate Productivity
Clay,635.98,18.39,84.24,174.86,45.57,1.45,2.94,Rabi,3.4,Healthy,Medium,Low Productivity
Sandy,1408.03,24.12,82.13,240.05,34.45,5.71,3.22,Kharif,6.74,Healthy,High,High Productivity
Sandy,389.35,35.12,67.42,284.65,51.08,6.24,3.19,Summer,5.05,Healthy,Medium,Moderate Productivity
Sandy,210.85,35.76,60.11,287.28,45.18,6.28,2.58,Summer,4.96,Healthy,Medium,Low Productivity
Clay,496.82,31.53,80.52,163.32,43.67,4.94,3.38,Summer,3.49,Healthy,Medium,Low Productivity
Loamy,952.59,34.11,70.28,230.68,50.2,6.25,3.92,Kharif,6.86,Healthy,Medium,High Productivity
Loamy,1195.17,23.01,90.92,274.75,50.23,6.38,3.45,Kharif,8.0,Healthy,High,High Productivity
Clay,1311.23,26.08,84.65,162.21,60.71,3.32,3.56,Kharif,6.62,Healthy,High,High Productivity
Sandy,1024.91,25.09,86.93,229.59,49.59,7.88,2.49,Kharif,6.59,Healthy,High,Moderate Productivity
Clay,407.57,36.11,68.4,186.77,55.76,3.95,2.43,Summer,3.01,Unhealthy,Medium,Low Productivity
Loamy,249.2,17.46,89.22,228.4,30.03,5.2,2.74,Rabi,3.88,Healthy,Medium,Low Productivity
Clay,1551.99,21.65,88.46,224.16,53.13,5.48,3.94,Kharif,7.65,Healthy,High,High Productivity
Loamy,349.7,35.7,75.75,187.92,40.75,6.18,3.83,Summer,4.55,Unhealthy,Medium,Moderate Productivity
Loamy,1158.68,28.63,79.4,200.32,37.23,5.75,4.58,Kharif,6.8,Healthy,Medium,High Productivity
Loamy,1396.95,29.66,74.9,234.9,56.06,5.92,4.92,Kharif,8.0,Healthy,High,High Productivity
Clay,1009.56,26.61,76.07,258.61,53.71,6.87,3.56,Kharif,6.97,Healthy,High,High Productivity
Loamy,709.98,17.44,94.09,236.04,30.16,4.06,4.09,Rabi,6.1,Healthy,Medium,High Productivity
Clay,417.96,39.4,63.95,218.56,48.34,4.02,3.65,Summer,4.15,Healthy,Low,Low Productivity
Clay,1464.6,26.4,81.96,236.3,52.53,4.86,3.72,Kharif,8.0,Healthy,High,High Productivity
Sandy,212.24,36.15,69.43,241.07,35.6,8.89,2.79,Summer,4.64,Healthy,Medium,Low Productivity
Sandy,488.18,40.34,63.36,294.41,32.66,9.14,2.73,Summer,5.67,Unhealthy,Medium,Moderate Productivity
Loamy,468.73,36.0,72.27,241.61,27.78,4.13,4.62,Summer,5.19,Healthy,Medium,Moderate Productivity
Loamy,1017.13,30.84,79.76,292.93,42.55,6.59,3.96,Kharif,7.46,Healthy,High,High Productivity
Sandy,976.98,31.58,85.94,265.76,46.01,3.91,3.7,Kharif,6.86,Healthy,Medium,High Productivity
Loamy,400.93,32.17,79.19,274.97,53.73,4.58,3.07,Summer,5.86,Healthy,Medium,Moderate Productivity
Clay,1409.96,30.43,85.46,184.06,50.33,2.95,3.48,Kharif,6.31,Healthy,Medium,High Productivity
Sandy,539.27,19.52,86.48,233.08,37.35,6.74,2.38,Rabi,4.5,Healthy,Medium,Low Productivity
Clay,480.69,36.29,62.45,204.99,43.12,3.39,2.57,Summer,4.04,Healthy,Low,Low Productivity
Loamy,1338.29,31.42,76.23,268.96,42.33,4.04,4.06,Kharif,7.12,Healthy,High,High Productivity
Clay,600.26,36.94,73.96,286.34,34.84,3.96,3.1,Summer,4.16,Healthy,Medium,Low Productivity
Clay,704.43,42.28,66.77,275.57,26.14,4.6,2.92,Summer,4.83,Healthy,Medium,Low Productivity
Sandy,312.09,41.63,70.1,349.35,49.28,7.37,2.67,Summer,5.91,Unhealthy,Medium,Moderate Productivity
Loamy,608.13,19.03,78.48,282.53,50.01,3.86,4.66,Rabi,7.02,Healthy,High,High Productivity
Loamy,341.88,26.55,88.41,198.35,54.09,4.45,4.2,Summer,4.42,Healthy,Medium,Moderate Productivity
Loamy,630.99,20.8,90.72,206.49,41.93,3.48,3.93,Rabi,4.47,Healthy,Medium,Moderate Productivity
Loamy,273.86,32.76,66.97,236.68,43.8,7.94,3.69,Summer,5.93,Healthy,Medium,Moderate Productivity
Loamy,329.06,33.65,77.24,157.87,31.42,4.28,2.78,Summer,3.3,Healthy,Low,Low Productivity
Sandy,519.96,34.31,73.67,315.49,34.24,5.71,2.72,Summer,5.08,Healthy,Medium,Moderate Productivity
Sandy,1172.79,21.42,90.2,188.99,49.4,5.42,3.05,Kharif,6.86,Healthy,High,High Productivity
Loamy,1235.92,17.41,95.0,175.0,53.12,5.54,3.66,Kharif,7.11,Healthy,High,High Productivity
Loamy,1014.77,26.87,83.91,242.69,30.89,4.8,4.32,Kharif,7.54,Healthy,High,High Productivity
Sandy,798.49,23.28,78.7,301.61,35.03,7.98,2.79,Rabi,5.44,Healthy,Medium,Moderate Productivity
Clay,493.94,17.04,92.83,205.04,46.2,2.17,3.41,Rabi,3.53,Healthy,Medium,Low Productivity
Loamy,572.39,20.53,81.28,211.08,55.97,5.15,3.61,Rabi,5.37,Healthy,Medium,Moderate Productivity
Clay,1324.26,26.45,85.51,313.91,39.52,4.0,3.82,Kharif,8.0,Healthy,High,High Productivity
Loamy,394.62,38.4,74.92,227.68,45.88,2.27,4.89,Summer,4.83,Healthy,Low,Moderate Productivity
Clay,299.09,35.88,64.74,173.48,43.88,5.62,2.87,Summer,3.62,Healthy,Low,Low Productivity
Clay,1311.68,29.16,75.65,186.98,42.2,2.76,3.9,Kharif,7.41,Healthy,High,High Productivity
Loamy,518.49,36.84,65.38,185.53,44.3,5.29,3.07,Summer,4.8,Healthy,Medium,Low Productivity
Clay,583.11,19.08,88.84,217.45,35.2,4.26,2.9,Rabi,4.49,Healthy,Medium,Low Productivity
Clay,480.12,16.38,95.0,157.0,43.94,3.72,3.68,Rabi,3.62,Healthy,Medium,Low Productivity
Sandy,1249.7,31.43,74.07,264.92,58.56,5.41,2.81,Kharif,6.78,Healthy,Medium,High Productivity
Loamy,465.23,32.87,77.82,244.68,60.39,5.53,4.07,Summer,5.86,Healthy,Medium,High Productivity
Clay,272.85,35.98,76.16,100.98,53.28,6.25,2.42,Summer,3.46,Unhealthy,Low,Low Productivity
Sandy,476.51,35.65,76.72,173.55,56.02,9.0,2.46,Summer,3.85,Healthy,Low,Low Productivity
Loamy,200.0,31.64,70.44,145.15,24.87,5.19,3.91,Summer,4.01,Healthy,Medium,Low Productivity
Loamy,565.13,33.65,80.55,203.19,36.68,7.02,3.69,Summer,5.51,Healthy,Medium,Moderate Productivity
Sandy,971.53,31.32,83.74,260.65,44.01,5.67,3.18,Kharif,7.17,Healthy,High,High Productivity
Clay,272.14,18.3,95.0,203.77,74.66,5.42,2.52,Rabi,3.03,Healthy,Low,Low Productivity
Clay,496.39,27.41,80.32,177.63,42.96,2.74,3.2,Rabi,3.85,Healthy,Medium,Low Productivity
Clay,350.81,32.28,71.5,133.04,50.9,3.39,3.0,Summer,3.9,Healthy,Low,Low Productivity
Clay,1613.61,21.07,83.8,187.91,50.92,4.54,3.51,Kharif,6.73,Healthy,High,High Productivity
Loamy,799.6,19.38,85.23,239.12,51.13,7.56,3.45,Rabi,5.63,Healthy,Medium,Moderate Productivity
Clay,511.4,35.73,71.18,201.38,43.12,4.56,2.23,Summer,3.74,Healthy,Medium,Low Productivity
Sandy,1047.92,22.28,91.51,334.92,37.45,8.91,3.66,Kharif,8.0,Healthy,High,High Productivity
Loamy,328.95,36.34,76.92,227.39,18.07,4.08,4.16,Summer,4.53,Healthy,Medium,Moderate Productivity
Sandy,1156.9,30.52,74.95,376.4,57.3,4.36,3.07,Kharif,7.89,Healthy,High,High Productivity
Clay,443.91,36.55,69.95,181.99,36.82,7.23,2.9,Summer,4.23,Healthy,Medium,Low Productivity
Loamy,200.0,34.47,72.12,194.22,24.96,2.7,3.32,Summer,3.91,Healthy,Medium,Low Productivity
Loamy,1287.17,27.4,77.95,183.74,49.76,5.77,4.43,Kharif,6.95,Healthy,High,High Productivity
Loamy,200.0,32.51,78.67,195.45,49.79,3.38,3.8,Summer,4.15,Healthy,Medium,Low Productivity
Clay,1097.12,29.44,80.49,162.72,53.83,5.09,3.54,Kharif,5.42,Healthy,Medium,Moderate Productivity
Clay,218.17,15.8,95.0,236.66,61.66,4.72,2.69,Rabi,4.57,Healthy,Medium,Low Productivity
Loamy,626.43,22.13,89.24,211.33,39.58,4.58,3.58,Rabi,4.54,Healthy,Medium,Low Productivity
Sandy,256.83,33.56,76.8,252.34,36.29,6.27,3.28,Summer,5.06,Healthy,Medium,Moderate Productivity
Sandy,1167.92,31.12,79.69,130.06,42.72,5.96,3.42,Kharif,5.63,Healthy,Medium,Moderate Productivity
Sandy,1129.01,27.44,76.87,444.62,53.28,4.97,3.4,Kharif,8.0,Healthy,High,High Productivity
Loamy,607.29,38.77,71.96,169.95,22.56,6.89,3.86,Summer,5.51,Healthy,Medium,Moderate Productivity
Loamy,381.22,19.52,91.85,237.97,50.84,9.34,3.33,Rabi,4.97,Healthy,Medium,Moderate Productivity
Clay,577.53,22.04,85.37,199.9,56.93,2.94,3.06,Rabi,3.9,Healthy,Medium,Low Productivity
Loamy,911.29,25.82,84.18,188.44,56.16,7.25,3.66,Kharif,5.53,Healthy,Medium,Moderate Productivity
Clay,1078.82,29.32,80.54,316.67,53.25,3.22,4.15,Kharif,7.79,Healthy,High,High Productivity
Sandy,371.26,31.08,82.11,253.05,57.26,7.55,2.66,Summer,5.06,Healthy,Medium,Low Productivity
Loamy,1381.45,33.56,68.5,195.56,15.08,3.79,4.09,Kharif,7.82,Healthy,Medium,High Productivity
Clay,1261.25,35.41,78.13,144.19,61.58,3.4,3.74,Kharif,5.96,Healthy,Medium,Moderate Productivity
Clay,273.13,33.61,73.78,318.75,47.44,1.93,3.49,Summer,5.23,Healthy,Medium,Moderate Productivity
Sandy,1027.64,35.02,69.44,384.73,56.18,7.13,2.5,Kharif,7.4,Healthy,High,High Productivity
Loamy,551.62,33.94,70.59,239.78,31.43,3.09,3.49,Summer,4.96,Healthy,Medium,Moderate Productivity
Sandy,1014.16,24.6,79.47,201.37,28.3,6.88,2.93,Kharif,5.61,Healthy,Medium,Moderate Productivity
Loamy,200.0,31.86,67.07,190.41,59.98,5.92,4.23,Summer,5.53,Healthy,Medium,Moderate Productivity
Loamy,466.07,35.9,74.31,136.08,35.03,4.45,4.3,Summer,4.23,Healthy,Medium,Low Productivity
Sandy,821.41,32.63,84.75,121.69,44.32,7.19,3.27,Summer,4.93,Healthy,Medium,Moderate Productivity
Loamy,1429.62,27.59,72.8,274.09,49.12,4.89,4.57,Kharif,8.0,Healthy,High,High Productivity
Clay,631.79,19.66,85.65,198.44,55.42,3.84,3.05,Rabi,4.62,Healthy,Medium,Low Productivity
Clay,445.28,33.03,78.12,181.43,56.22,0.43,2.65,Summer,2.82,Healthy,Low,Low Productivity
